"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Division No.  1","2021A00031001","Population, 2021","","0","units","0","","3.1","271878","","","","0"
"2021","Division No.  2","2021A00031002","Population, 2021","","0","units","0","","4.1","19392","","","","0"
"2021","Division No.  3","2021A00031003","Population, 2021","","0","units","0","","5.1","13920","","","","0"
"2021","Division No.  4","2021A00031004","Population, 2021","","0","units","0","","6.1","19253","","","","0"
"2021","Division No.  5","2021A00031005","Population, 2021","","0","units","0","","7.1","40396","","","","0"
"2021","Division No.  6","2021A00031006","Population, 2021","","0","units","0","","8.1","37339","","","","0"
"2021","Division No.  7","2021A00031007","Population, 2021","","0","units","0","","9.1","33044","","","","0"
"2021","Division No.  8","2021A00031008","Population, 2021","","0","units","0","","10.1","33940","","","","0"
"2021","Division No.  9","2021A00031009","Population, 2021","","0","units","0","","11.1","14733","","","","0"
"2021","Division No. 10","2021A00031010","Population, 2021","","0","units","0","","12.1","24332","","","","0"
"2021","Division No. 11","2021A00031011","Population, 2021","","0","units","0","","13.1","2323","","","","0"
"2021","Kings","2021A00031101","Population, 2021","","0","units","0","","15.1","18327","","","","0"
"2021","Prince","2021A00031103","Population, 2021","","0","units","0","","16.1","46234","","","","0"
"2021","Queens","2021A00031102","Population, 2021","","0","units","0","","17.1","89770","","","","0"
"2021","Annapolis","2021A00031205","Population, 2021","","0","units","0","","19.1","21252","","","","0"
"2021","Antigonish","2021A00031214","Population, 2021","","0","units","0","","20.1","20129","","","","0"
"2021","Cape Breton","2021A00031217","Population, 2021","","0","units","0","","21.1","98318","","","","0"
"2021","Colchester","2021A00031210","Population, 2021","","0","units","0","","22.1","51476","","","","0"
"2021","Cumberland","2021A00031211","Population, 2021","","0","units","0","","23.1","30538","","","","0"
"2021","Digby","2021A00031203","Population, 2021","","0","units","0","","24.1","17062","","","","0"
"2021","Guysborough","2021A00031213","Population, 2021","","0","units","0","","25.1","7373","","","","0"
"2021","Halifax","2021A00031209","Population, 2021","","0","units","0","","26.1","440072","","","","0"
"2021","Hants","2021A00031208","Population, 2021","","0","units","0","","27.1","45140","","","","0"
"2021","Inverness","2021A00031215","Population, 2021","","0","units","0","","28.1","17346","","","","0"
"2021","Kings","2021A00031207","Population, 2021","","0","units","0","","29.1","62914","","","","0"
"2021","Lunenburg","2021A00031206","Population, 2021","","0","units","0","","30.1","48599","","","","0"
"2021","Pictou","2021A00031212","Population, 2021","","0","units","0","","31.1","43657","","","","0"
"2021","Queens","2021A00031204","Population, 2021","","0","units","0","","32.1","10501","","","","0"
"2021","Richmond","2021A00031216","Population, 2021","","0","units","0","","33.1","8914","","","","0"
"2021","Shelburne","2021A00031201","Population, 2021","","0","units","0","","34.1","13704","","","","0"
"2021","Victoria","2021A00031218","Population, 2021","","0","units","0","","35.1","7441","","","","0"
"2021","Yarmouth","2021A00031202","Population, 2021","","0","units","0","","36.1","24947","","","","0"
"2021","Albert","2021A00031306","Population, 2021","","0","units","0","","38.1","30749","","","","0"
"2021","Carleton","2021A00031311","Population, 2021","","0","units","0","","39.1","26360","","","","0"
"2021","Charlotte","2021A00031302","Population, 2021","","0","units","0","","40.1","26015","","","","0"
"2021","Gloucester","2021A00031315","Population, 2021","","0","units","0","","41.1","78256","","","","0"
"2021","Kent","2021A00031308","Population, 2021","","0","units","0","","42.1","32169","","","","0"
"2021","Kings","2021A00031305","Population, 2021","","0","units","0","","43.1","71184","","","","0"
"2021","Madawaska","2021A00031313","Population, 2021","","0","units","0","","44.1","32603","","","","0"
"2021","Northumberland","2021A00031309","Population, 2021","","0","units","0","","45.1","45005","","","","0"
"2021","Queens","2021A00031304","Population, 2021","","0","units","0","","46.1","10998","","","","0"
"2021","Restigouche","2021A00031314","Population, 2021","","0","units","0","","47.1","30700","","","","0"
"2021","Saint John","2021A00031301","Population, 2021","","0","units","0","","48.1","76558","","","","0"
"2021","Sunbury","2021A00031303","Population, 2021","","0","units","0","","49.1","27864","","","","0"
"2021","Victoria","2021A00031312","Population, 2021","","0","units","0","","50.1","18312","","","","0"
"2021","Westmorland","2021A00031307","Population, 2021","","0","units","0","","51.1","163576","","","","0"
"2021","York","2021A00031310","Population, 2021","","0","units","0","","52.1","105261","","","","0"
"2021","Abitibi","2021A00032488","Population, 2021","","0","units","0","","54.1","24764","","","","0"
"2021","Abitibi-Ouest","2021A00032487","Population, 2021","","0","units","0","","55.1","20526","","","","0"
"2021","Acton","2021A00032448","Population, 2021","","0","units","0","","56.1","15654","","","","0"
"2021","Antoine-Labelle","2021A00032479","Population, 2021","","0","units","0","","57.1","36462","","","","0"
"2021","Argenteuil","2021A00032476","Population, 2021","","0","units","0","","58.1","34752","","","","0"
"2021","Arthabaska","2021A00032439","Population, 2021","","0","units","0","","59.1","74348","","","","0"
"2021","Avignon","2021A00032406","Population, 2021","","0","units","0","","60.1","13415","","","","0"
"2021","Beauce-Sartigan","2021A00032429","Population, 2021","","0","units","0","","61.1","53384","","","","0"
"2021","Beauharnois-Salaberry","2021A00032470","Population, 2021","","0","units","0","","62.1","68322","","","","0"
"2021","Bellechasse","2021A00032419","Population, 2021","","0","units","0","","63.1","38000","","","","0"
"2021","Bonaventure","2021A00032405","Population, 2021","","0","units","0","","64.1","17557","","","","0"
"2021","Brome-Missisquoi","2021A00032446","Population, 2021","","0","units","0","","65.1","64786","","","","0"
"2021","Bécancour","2021A00032438","Population, 2021","","0","units","0","","66.1","20748","","","","0"
"2021","Charlevoix","2021A00032416","Population, 2021","","0","units","0","","67.1","13371","","","","0"
"2021","Charlevoix-Est","2021A00032415","Population, 2021","","0","units","0","","68.1","15409","","","","0"
"2021","Coaticook","2021A00032444","Population, 2021","","0","units","0","","69.1","18906","","","","0"
"2021","Communauté maritime des Îles-de-la-Madeleine","2021A00032401","Population, 2021","","0","units","0","","70.1","12654","","","","0"
"2021","D'Autray","2021A00032452","Population, 2021","","0","units","0","","71.1","44080","","","","0"
"2021","Deux-Montagnes","2021A00032472","Population, 2021","","0","units","0","","72.1","102052","","","","0"
"2021","Drummond","2021A00032449","Population, 2021","","0","units","0","","73.1","107967","","","","0"
"2021","Francheville","2021A00032437","Population, 2021","","0","units","0","","74.1","158343","","","","0"
"2021","Gatineau","2021A00032481","Population, 2021","","0","units","0","","75.1","291041","","","","0"
"2021","Joliette","2021A00032461","Population, 2021","","0","units","0","","76.1","71124","","","","0"
"2021","Kamouraska","2021A00032414","Population, 2021","","0","units","0","","77.1","21307","","","","0"
"2021","L'Assomption","2021A00032460","Population, 2021","","0","units","0","","78.1","128087","","","","0"
"2021","L'Islet","2021A00032417","Population, 2021","","0","units","0","","79.1","17598","","","","0"
"2021","L'Érable","2021A00032432","Population, 2021","","0","units","0","","80.1","23534","","","","0"
"2021","L'Île-d'Orléans","2021A00032420","Population, 2021","","0","units","0","","81.1","6817","","","","0"
"2021","La Côte-de-Beaupré","2021A00032421","Population, 2021","","0","units","0","","82.1","30240","","","","0"
"2021","La Côte-de-Gaspé","2021A00032403","Population, 2021","","0","units","0","","83.1","17547","","","","0"
"2021","La Haute-Côte-Nord","2021A00032495","Population, 2021","","0","units","0","","84.1","10278","","","","0"
"2021","La Haute-Gaspésie","2021A00032404","Population, 2021","","0","units","0","","85.1","10950","","","","0"
"2021","La Haute-Yamaska","2021A00032447","Population, 2021","","0","units","0","","86.1","92796","","","","0"
"2021","La Jacques-Cartier","2021A00032422","Population, 2021","","0","units","0","","87.1","47813","","","","0"
"2021","La Matanie","2021A00032408","Population, 2021","","0","units","0","","88.1","20883","","","","0"
"2021","La Matapédia","2021A00032407","Population, 2021","","0","units","0","","89.1","17592","","","","0"
"2021","La Mitis","2021A00032409","Population, 2021","","0","units","0","","90.1","18363","","","","0"
"2021","La Nouvelle-Beauce","2021A00032426","Population, 2021","","0","units","0","","91.1","37988","","","","0"
"2021","La Rivière-du-Nord","2021A00032475","Population, 2021","","0","units","0","","92.1","140394","","","","0"
"2021","La Tuque","2021A00032490","Population, 2021","","0","units","0","","93.1","15038","","","","0"
"2021","La Vallée-de-l'Or","2021A00032489","Population, 2021","","0","units","0","","94.1","43347","","","","0"
"2021","La Vallée-de-la-Gatineau","2021A00032483","Population, 2021","","0","units","0","","95.1","20547","","","","0"
"2021","La Vallée-du-Richelieu","2021A00032457","Population, 2021","","0","units","0","","96.1","131803","","","","0"
"2021","Lac-Saint-Jean-Est","2021A00032493","Population, 2021","","0","units","0","","97.1","52475","","","","0"
"2021","Laval","2021A00032465","Population, 2021","","0","units","0","","98.1","438366","","","","0"
"2021","Le Domaine-du-Roy","2021A00032491","Population, 2021","","0","units","0","","99.1","31095","","","","0"
"2021","Le Granit","2021A00032430","Population, 2021","","0","units","0","","100.1","21948","","","","0"
"2021","Le Haut-Richelieu","2021A00032456","Population, 2021","","0","units","0","","101.1","121277","","","","0"
"2021","Le Haut-Saint-François","2021A00032441","Population, 2021","","0","units","0","","102.1","22926","","","","0"
"2021","Le Haut-Saint-Laurent","2021A00032469","Population, 2021","","0","units","0","","103.1","22213","","","","0"
"2021","Le Rocher-Percé","2021A00032402","Population, 2021","","0","units","0","","104.1","17219","","","","0"
"2021","Le Saguenay-et-son-Fjord","2021A00032494","Population, 2021","","0","units","0","","105.1","167833","","","","0"
"2021","Le Val-Saint-François","2021A00032442","Population, 2021","","0","units","0","","106.1","31551","","","","0"
"2021","Les Appalaches","2021A00032431","Population, 2021","","0","units","0","","107.1","43412","","","","0"
"2021","Les Basques","2021A00032411","Population, 2021","","0","units","0","","108.1","8873","","","","0"
"2021","Les Collines-de-l'Outaouais","2021A00032482","Population, 2021","","0","units","0","","109.1","54498","","","","0"
"2021","Les Etchemins","2021A00032428","Population, 2021","","0","units","0","","110.1","16927","","","","0"
"2021","Les Jardins-de-Napierville","2021A00032468","Population, 2021","","0","units","0","","111.1","30339","","","","0"
"2021","Les Laurentides","2021A00032478","Population, 2021","","0","units","0","","112.1","50777","","","","0"
"2021","Les Maskoutains","2021A00032454","Population, 2021","","0","units","0","","113.1","89432","","","","0"
"2021","Les Moulins","2021A00032464","Population, 2021","","0","units","0","","114.1","171127","","","","0"
"2021","Les Pays-d'en-Haut","2021A00032477","Population, 2021","","0","units","0","","115.1","46906","","","","0"
"2021","Les Sources","2021A00032440","Population, 2021","","0","units","0","","116.1","14623","","","","0"
"2021","Longueuil","2021A00032458","Population, 2021","","0","units","0","","117.1","436785","","","","0"
"2021","Lotbinière","2021A00032433","Population, 2021","","0","units","0","","118.1","34586","","","","0"
"2021","Lévis","2021A00032425","Population, 2021","","0","units","0","","119.1","149683","","","","0"
"2021","Manicouagan","2021A00032496","Population, 2021","","0","units","0","","120.1","30158","","","","0"
"2021","Marguerite-D'Youville","2021A00032459","Population, 2021","","0","units","0","","121.1","80313","","","","0"
"2021","Maria-Chapdelaine","2021A00032492","Population, 2021","","0","units","0","","122.1","24149","","","","0"
"2021","Maskinongé","2021A00032451","Population, 2021","","0","units","0","","123.1","37292","","","","0"
"2021","Matawinie","2021A00032462","Population, 2021","","0","units","0","","124.1","55500","","","","0"
"2021","Memphrémagog","2021A00032445","Population, 2021","","0","units","0","","125.1","54797","","","","0"
"2021","Minganie--Le Golfe-du-Saint-Laurent","2021A00032498","Population, 2021","","0","units","0","","126.1","9849","","","","0"
"2021","Mirabel","2021A00032474","Population, 2021","","0","units","0","","127.1","61108","","","","0"
"2021","Montcalm","2021A00032463","Population, 2021","","0","units","0","","128.1","58680","","","","0"
"2021","Montmagny","2021A00032418","Population, 2021","","0","units","0","","129.1","22481","","","","0"
"2021","Montréal","2021A00032466","Population, 2021","","0","units","0","","130.1","2004265","","","","0"
"2021","Mékinac","2021A00032435","Population, 2021","","0","units","0","","131.1","12762","","","","0"
"2021","Nicolet-Yamaska","2021A00032450","Population, 2021","","0","units","0","","132.1","23848","","","","0"
"2021","Nord-du-Québec","2021A00032499","Population, 2021","","0","units","0","","133.1","45740","","","","0"
"2021","Papineau","2021A00032480","Population, 2021","","0","units","0","","134.1","24308","","","","0"
"2021","Pierre-De Saurel","2021A00032453","Population, 2021","","0","units","0","","135.1","51843","","","","0"
"2021","Pontiac","2021A00032484","Population, 2021","","0","units","0","","136.1","14764","","","","0"
"2021","Portneuf","2021A00032434","Population, 2021","","0","units","0","","137.1","55523","","","","0"
"2021","Québec","2021A00032423","Population, 2021","","0","units","0","","138.1","588777","","","","0"
"2021","Rimouski-Neigette","2021A00032410","Population, 2021","","0","units","0","","139.1","57191","","","","0"
"2021","Rivière-du-Loup","2021A00032412","Population, 2021","","0","units","0","","140.1","35338","","","","0"
"2021","Robert-Cliche","2021A00032427","Population, 2021","","0","units","0","","141.1","19253","","","","0"
"2021","Roussillon","2021A00032467","Population, 2021","","0","units","0","","142.1","185568","","","","0"
"2021","Rouville","2021A00032455","Population, 2021","","0","units","0","","143.1","37889","","","","0"
"2021","Rouyn-Noranda","2021A00032486","Population, 2021","","0","units","0","","144.1","42313","","","","0"
"2021","Sept-Rivières--Caniapiscau","2021A00032497","Population, 2021","","0","units","0","","145.1","38240","","","","0"
"2021","Shawinigan","2021A00032436","Population, 2021","","0","units","0","","146.1","49620","","","","0"
"2021","Sherbrooke","2021A00032443","Population, 2021","","0","units","0","","147.1","172950","","","","0"
"2021","Thérèse-De Blainville","2021A00032473","Population, 2021","","0","units","0","","148.1","163632","","","","0"
"2021","Témiscamingue","2021A00032485","Population, 2021","","0","units","0","","149.1","16132","","","","0"
"2021","Témiscouata","2021A00032413","Population, 2021","","0","units","0","","150.1","19492","","","","0"
"2021","Vaudreuil-Soulanges","2021A00032471","Population, 2021","","0","units","0","","151.1","162600","","","","0"
"2021","Algoma","2021A00033557","Population, 2021","","0","units","0","","153.1","113777","","","","0"
"2021","Brant","2021A00033529","Population, 2021","","0","units","0","","154.1","144771","","","","0"
"2021","Bruce","2021A00033541","Population, 2021","","0","units","0","","155.1","73396","","","","0"
"2021","Chatham-Kent","2021A00033536","Population, 2021","","0","units","0","","156.1","104316","","","","0"
"2021","Cochrane","2021A00033556","Population, 2021","","0","units","0","","157.1","77963","","","","0"
"2021","Dufferin","2021A00033522","Population, 2021","","0","units","0","","158.1","66257","","","","0"
"2021","Durham","2021A00033518","Population, 2021","","0","units","0","","159.1","696992","","","","0"
"2021","Elgin","2021A00033534","Population, 2021","","0","units","0","","160.1","94752","","","","0"
"2021","Essex","2021A00033537","Population, 2021","","0","units","0","","161.1","422860","","","","0"
"2021","Frontenac","2021A00033510","Population, 2021","","0","units","0","","162.1","161780","","","","0"
"2021","Greater Sudbury / Grand Sudbury","2021A00033553","Population, 2021","","0","units","0","","163.1","166128","","","","0"
"2021","Grey","2021A00033542","Population, 2021","","0","units","0","","164.1","100905","","","","0"
"2021","Haldimand-Norfolk","2021A00033528","Population, 2021","","0","units","0","","165.1","116872","","","","0"
"2021","Haliburton","2021A00033546","Population, 2021","","0","units","0","","166.1","20571","","","","0"
"2021","Halton","2021A00033524","Population, 2021","","0","units","0","","167.1","596637","","","","0"
"2021","Hamilton","2021A00033525","Population, 2021","","0","units","0","","168.1","569353","","","","0"
"2021","Hastings","2021A00033512","Population, 2021","","0","units","0","","169.1","145746","","","","0"
"2021","Huron","2021A00033540","Population, 2021","","0","units","0","","170.1","61366","","","","0"
"2021","Kawartha Lakes","2021A00033516","Population, 2021","","0","units","0","","171.1","79247","","","","0"
"2021","Kenora","2021A00033560","Population, 2021","","0","units","0","","172.1","66000","","","","0"
"2021","Lambton","2021A00033538","Population, 2021","","0","units","0","","173.1","128154","","","","0"
"2021","Lanark","2021A00033509","Population, 2021","","0","units","0","","174.1","75760","","","","0"
"2021","Leeds and Grenville","2021A00033507","Population, 2021","","0","units","0","","175.1","104070","","","","0"
"2021","Lennox and Addington","2021A00033511","Population, 2021","","0","units","0","","176.1","45182","","","","0"
"2021","Manitoulin","2021A00033551","Population, 2021","","0","units","0","","177.1","13935","","","","0"
"2021","Middlesex","2021A00033539","Population, 2021","","0","units","0","","178.1","500563","","","","0"
"2021","Muskoka","2021A00033544","Population, 2021","","0","units","0","","179.1","66674","","","","0"
"2021","Niagara","2021A00033526","Population, 2021","","0","units","0","","180.1","477941","","","","0"
"2021","Nipissing","2021A00033548","Population, 2021","","0","units","0","","181.1","84716","","","","0"
"2021","Northumberland","2021A00033514","Population, 2021","","0","units","0","","182.1","89365","","","","0"
"2021","Ottawa","2021A00033506","Population, 2021","","0","units","0","","183.1","1017449","","","","0"
"2021","Oxford","2021A00033532","Population, 2021","","0","units","0","","184.1","121781","","","","0"
"2021","Parry Sound","2021A00033549","Population, 2021","","0","units","0","","185.1","46909","","","","0"
"2021","Peel","2021A00033521","Population, 2021","","0","units","0","","186.1","1451022","","","","0"
"2021","Perth","2021A00033531","Population, 2021","","0","units","0","","187.1","81565","","","","0"
"2021","Peterborough","2021A00033515","Population, 2021","","0","units","0","","188.1","147681","","","","0"
"2021","Prescott and Russell","2021A00033502","Population, 2021","","0","units","0","","189.1","95639","","","","0"
"2021","Prince Edward","2021A00033513","Population, 2021","","0","units","0","","190.1","25704","","","","0"
"2021","Rainy River","2021A00033559","Population, 2021","","0","units","0","","191.1","19437","","","","0"
"2021","Renfrew","2021A00033547","Population, 2021","","0","units","0","","192.1","106365","","","","0"
"2021","Simcoe","2021A00033543","Population, 2021","","0","units","0","","193.1","533169","","","","0"
"2021","Stormont, Dundas and Glengarry","2021A00033501","Population, 2021","","0","units","0","","194.1","114637","","","","0"
"2021","Sudbury","2021A00033552","Population, 2021","","0","units","0","","195.1","22368","","","","0"
"2021","Thunder Bay","2021A00033558","Population, 2021","","0","units","0","","196.1","146862","","","","0"
"2021","Timiskaming","2021A00033554","Population, 2021","","0","units","0","","197.1","31424","","","","0"
"2021","Toronto","2021A00033520","Population, 2021","","0","units","0","","198.1","2794356","","","","0"
"2021","Waterloo","2021A00033530","Population, 2021","","0","units","0","","199.1","587165","","","","0"
"2021","Wellington","2021A00033523","Population, 2021","","0","units","0","","200.1","241026","","","","0"
"2021","York","2021A00033519","Population, 2021","","0","units","0","","201.1","1173334","","","","0"
"2021","Division No.  1","2021A00034601","Population, 2021","","0","units","0","","203.1","20114","","","","0"
"2021","Division No.  2","2021A00034602","Population, 2021","","0","units","0","","204.1","83878","","","","0"
"2021","Division No.  3","2021A00034603","Population, 2021","","0","units","0","","205.1","57363","","","","0"
"2021","Division No.  4","2021A00034604","Population, 2021","","0","units","0","","206.1","9665","","","","0"
"2021","Division No.  5","2021A00034605","Population, 2021","","0","units","0","","207.1","13326","","","","0"
"2021","Division No.  6","2021A00034606","Population, 2021","","0","units","0","","208.1","9906","","","","0"
"2021","Division No.  7","2021A00034607","Population, 2021","","0","units","0","","209.1","70896","","","","0"
"2021","Division No.  8","2021A00034608","Population, 2021","","0","units","0","","210.1","13877","","","","0"
"2021","Division No.  9","2021A00034609","Population, 2021","","0","units","0","","211.1","24339","","","","0"
"2021","Division No. 10","2021A00034610","Population, 2021","","0","units","0","","212.1","12913","","","","0"
"2021","Division No. 11","2021A00034611","Population, 2021","","0","units","0","","213.1","753938","","","","0"
"2021","Division No. 12","2021A00034612","Population, 2021","","0","units","0","","214.1","24863","","","","0"
"2021","Division No. 13","2021A00034613","Population, 2021","","0","units","0","","215.1","51643","","","","0"
"2021","Division No. 14","2021A00034614","Population, 2021","","0","units","0","","216.1","19749","","","","0"
"2021","Division No. 15","2021A00034615","Population, 2021","","0","units","0","","217.1","23304","","","","0"
"2021","Division No. 16","2021A00034616","Population, 2021","","0","units","0","","218.1","9945","","","","0"
"2021","Division No. 17","2021A00034617","Population, 2021","","0","units","0","","219.1","21996","","","","0"
"2021","Division No. 18","2021A00034618","Population, 2021","","0","units","0","","220.1","26636","","","","0"
"2021","Division No. 19","2021A00034619","Population, 2021","","0","units","0","","221.1","15381","","","","0"
"2021","Division No. 20","2021A00034620","Population, 2021","","0","units","0","","222.1","9634","","","","0"
"2021","Division No. 21","2021A00034621","Population, 2021","","0","units","0","","223.1","21871","","","","0"
"2021","Division No. 22","2021A00034622","Population, 2021","","0","units","0","","224.1","42226","","","","0"
"2021","Division No. 23","2021A00034623","Population, 2021","","0","units","0","","225.1","4690","","","","0"
"2021","Division No.  1","2021A00034701","Population, 2021","","0","units","0","","227.1","30351","","","","0"
"2021","Division No.  2","2021A00034702","Population, 2021","","0","units","0","","228.1","22497","","","","0"
"2021","Division No.  3","2021A00034703","Population, 2021","","0","units","0","","229.1","12262","","","","0"
"2021","Division No.  4","2021A00034704","Population, 2021","","0","units","0","","230.1","10872","","","","0"
"2021","Division No.  5","2021A00034705","Population, 2021","","0","units","0","","231.1","31583","","","","0"
"2021","Division No.  6","2021A00034706","Population, 2021","","0","units","0","","232.1","276564","","","","0"
"2021","Division No.  7","2021A00034707","Population, 2021","","0","units","0","","233.1","47413","","","","0"
"2021","Division No.  8","2021A00034708","Population, 2021","","0","units","0","","234.1","30840","","","","0"
"2021","Division No.  9","2021A00034709","Population, 2021","","0","units","0","","235.1","36047","","","","0"
"2021","Division No. 10","2021A00034710","Population, 2021","","0","units","0","","236.1","16483","","","","0"
"2021","Division No. 11","2021A00034711","Population, 2021","","0","units","0","","237.1","326109","","","","0"
"2021","Division No. 12","2021A00034712","Population, 2021","","0","units","0","","238.1","23208","","","","0"
"2021","Division No. 13","2021A00034713","Population, 2021","","0","units","0","","239.1","22047","","","","0"
"2021","Division No. 14","2021A00034714","Population, 2021","","0","units","0","","240.1","35428","","","","0"
"2021","Division No. 15","2021A00034715","Population, 2021","","0","units","0","","241.1","88988","","","","0"
"2021","Division No. 16","2021A00034716","Population, 2021","","0","units","0","","242.1","37993","","","","0"
"2021","Division No. 17","2021A00034717","Population, 2021","","0","units","0","","243.1","47834","","","","0"
"2021","Division No. 18","2021A00034718","Population, 2021","","0","units","0","","244.1","35986","","","","0"
"2021","Division No.  1","2021A00034801","Population, 2021","","0","units","0","","246.1","82513","","","","0"
"2021","Division No.  2","2021A00034802","Population, 2021","","0","units","0","","247.1","178513","","","","0"
"2021","Division No.  3","2021A00034803","Population, 2021","","0","units","0","","248.1","40768","","","","0"
"2021","Division No.  4","2021A00034804","Population, 2021","","0","units","0","","249.1","9220","","","","0"
"2021","Division No.  5","2021A00034805","Population, 2021","","0","units","0","","250.1","55784","","","","0"
"2021","Division No.  6","2021A00034806","Population, 2021","","0","units","0","","251.1","1590639","","","","0"
"2021","Division No.  7","2021A00034807","Population, 2021","","0","units","0","","252.1","40684","","","","0"
"2021","Division No.  8","2021A00034808","Population, 2021","","0","units","0","","253.1","213470","","","","0"
"2021","Division No.  9","2021A00034809","Population, 2021","","0","units","0","","254.1","20569","","","","0"
"2021","Division No. 10","2021A00034810","Population, 2021","","0","units","0","","255.1","95455","","","","0"
"2021","Division No. 11","2021A00034811","Population, 2021","","0","units","0","","256.1","1462041","","","","0"
"2021","Division No. 12","2021A00034812","Population, 2021","","0","units","0","","257.1","67483","","","","0"
"2021","Division No. 13","2021A00034813","Population, 2021","","0","units","0","","258.1","68076","","","","0"
"2021","Division No. 14","2021A00034814","Population, 2021","","0","units","0","","259.1","28617","","","","0"
"2021","Division No. 15","2021A00034815","Population, 2021","","0","units","0","","260.1","37735","","","","0"
"2021","Division No. 16","2021A00034816","Population, 2021","","0","units","0","","261.1","74543","","","","0"
"2021","Division No. 17","2021A00034817","Population, 2021","","0","units","0","","262.1","62132","","","","0"
"2021","Division No. 18","2021A00034818","Population, 2021","","0","units","0","","263.1","13226","","","","0"
"2021","Division No. 19","2021A00034819","Population, 2021","","0","units","0","","264.1","121167","","","","0"
"2021","Alberni-Clayoquot","2021A00035923","Population, 2021","","0","units","0","","266.1","33521","","","","0"
"2021","Bulkley-Nechako","2021A00035951","Population, 2021","","0","units","0","","267.1","37737","","","","0"
"2021","Capital","2021A00035917","Population, 2021","","0","units","0","","268.1","415451","","","","0"
"2021","Cariboo","2021A00035941","Population, 2021","","0","units","0","","269.1","62931","","","","0"
"2021","Central Coast","2021A00035945","Population, 2021","","0","units","0","","270.1","3582","","","","0"
"2021","Central Kootenay","2021A00035903","Population, 2021","","0","units","0","","271.1","62509","","","","0"
"2021","Central Okanagan","2021A00035935","Population, 2021","","0","units","0","","272.1","222162","","","","0"
"2021","Columbia-Shuswap","2021A00035939","Population, 2021","","0","units","0","","273.1","57021","","","","0"
"2021","Comox Valley","2021A00035926","Population, 2021","","0","units","0","","274.1","72445","","","","0"
"2021","Cowichan Valley","2021A00035919","Population, 2021","","0","units","0","","275.1","89013","","","","0"
"2021","East Kootenay","2021A00035901","Population, 2021","","0","units","0","","276.1","65896","","","","0"
"2021","Fraser Valley","2021A00035909","Population, 2021","","0","units","0","","277.1","324005","","","","0"
"2021","Fraser-Fort George","2021A00035953","Population, 2021","","0","units","0","","278.1","96979","","","","0"
"2021","Greater Vancouver","2021A00035915","Population, 2021","","0","units","0","","279.1","2642825","","","","0"
"2021","Kitimat-Stikine","2021A00035949","Population, 2021","","0","units","0","","280.1","37790","","","","0"
"2021","Kootenay Boundary","2021A00035905","Population, 2021","","0","units","0","","281.1","33152","","","","0"
"2021","Mount Waddington","2021A00035943","Population, 2021","","0","units","0","","282.1","10839","","","","0"
"2021","Nanaimo","2021A00035921","Population, 2021","","0","units","0","","283.1","170367","","","","0"
"2021","North Okanagan","2021A00035937","Population, 2021","","0","units","0","","284.1","91610","","","","0"
"2021","Northern Rockies","2021A00035959","Population, 2021","","0","units","0","","285.1","4478","","","","0"
"2021","Okanagan-Similkameen","2021A00035907","Population, 2021","","0","units","0","","286.1","90178","","","","0"
"2021","Peace River","2021A00035955","Population, 2021","","0","units","0","","287.1","61532","","","","0"
"2021","Powell River","2021A00035927","Population, 2021","","0","units","0","","288.1","21496","","","","0"
"2021","Skeena-Queen Charlotte","2021A00035947","Population, 2021","","0","units","0","","289.1","18181","","","","0"
"2021","Squamish-Lillooet","2021A00035931","Population, 2021","","0","units","0","","290.1","50496","","","","0"
"2021","Stikine","2021A00035957","Population, 2021","","0","units","0","","291.1","683","","","","0"
"2021","Strathcona","2021A00035924","Population, 2021","","0","units","0","","292.1","48150","","","","0"
"2021","Sunshine Coast","2021A00035929","Population, 2021","","0","units","0","","293.1","32170","","","","0"
"2021","Thompson-Nicola","2021A00035933","Population, 2021","","0","units","0","","294.1","143680","","","","0"
"2021","Yukon","2021A00036001","Population, 2021","","0","units","0","","296.1","40232","","","","0"
"2021","Region 1","2021A00036101","Population, 2021","","0","units","0","","298.1","6205","","","","0"
"2021","Region 2","2021A00036102","Population, 2021","","0","units","0","","299.1","2259","","","","0"
"2021","Region 3","2021A00036103","Population, 2021","","0","units","0","","300.1","2650","","","","0"
"2021","Region 4","2021A00036104","Population, 2021","","0","units","0","","301.1","2872","","","","0"
"2021","Region 5","2021A00036105","Population, 2021","","0","units","0","","302.1","6279","","","","0"
"2021","Region 6","2021A00036106","Population, 2021","","0","units","0","","303.1","20805","","","","0"
"2021","Kitikmeot","2021A00036208","Population, 2021","","0","units","0","","305.1","6458","","","","0"
"2021","Kivalliq","2021A00036205","Population, 2021","","0","units","0","","306.1","11045","","","","0"
"2021","Qikiqtaaluk","2021A00036204","Population, 2021","","0","units","0","","307.1","19355","","","","0"


